,Time in seconds,Acceleration reading in G for frontal axis,Acceleration reading in G for vertical axis,Acceleration reading in G for lateral axis,Id of antenna reading sensor,Received signal strength indicator (RSSI),Phase,Frequency
108,355.75,0.31893,0.90487,-0.19613,3.0,-59.5,6.1144,923.75
109,356.5,0.61207,0.85894,-0.23034,1.0,-63.0,5.415,922.25
110,356.58,0.61207,0.85894,-0.23034,1.0,-63.0,5.4533,922.25
111,357.0,0.60034,0.83597,-0.25315,3.0,-59.5,1.5616,925.25
112,358.0,0.54171,0.88191,-0.28736,2.0,-59.0,1.8024,922.75
113,358.13,0.54171,0.88191,-0.28736,1.0,-69.5,2.1276,922.75
114,360.75,0.63552,0.80152,0.0091224,1.0,-53.0,6.251,923.75
115,360.83,0.35411,0.97377,-0.29876,1.0,-49.0,5.5193,921.25
116,360.88,0.35411,0.97377,-0.29876,1.0,-49.0,5.688,921.25
117,361.0,0.35411,0.97377,-0.29876,1.0,-49.5,6.1221,921.25
118,361.1,0.28376,0.91636,-0.26455,1.0,-50.0,0.75165,920.75
119,362.25,0.44791,0.88191,-0.16192,1.0,-54.5,4.1556,924.25
120,362.75,0.2603,0.98526,-0.26455,1.0,-51.5,2.6707,922.75
121,363.25,0.48309,1.0656,-0.23034,1.0,-51.5,1.2118,921.25
122,363.33,0.29548,0.95081,-0.20754,1.0,-52.5,0.97868,921.25
123,366.75,0.17823,0.96229,-0.12771,1.0,-63.0,0.88204,925.25
124,370.75,0.88175,0.66373,-0.093505,1.0,-60.0,6.254,920.75
125,373.25,0.88175,0.66373,-0.093505,1.0,-60.0,6.2387,920.75
126,374.25,0.88175,0.66373,-0.093505,1.0,-59.0,0.33134,920.25
127,375.75,0.88175,0.66373,-0.093505,1.0,-59.5,5.5561,921.75
128,380.25,1.128,0.57186,0.0091224,1.0,-59.0,5.6343,921.25
129,381.0,1.128,0.57186,0.0091224,1.0,-59.0,5.1526,922.25
130,382.75,1.128,0.57186,0.0091224,1.0,-59.0,5.7371,921.25
131,383.5,1.128,0.57186,0.0091224,1.0,-59.5,4.5682,923.25
132,385.0,1.128,0.57186,0.0091224,1.0,-59.5,4.3979,923.75
133,387.5,0.91693,0.64076,-0.070699,1.0,-61.0,1.014,923.75
134,388.5,0.91693,0.64076,-0.070699,1.0,-60.0,4.7446,923.25
135,390.5,0.91693,0.64076,-0.070699,1.0,-60.5,5.2339,922.25
136,392.5,0.91693,0.64076,-0.070699,1.0,-60.5,6.004,921.25
137,395.0,1.0811,0.57186,-0.0022806,1.0,-59.0,6.116,920.75
138,396.03,1.0811,0.57186,-0.0022806,1.0,-59.0,0.33287,920.25
139,397.75,1.0811,0.57186,-0.0022806,1.0,-59.0,5.4855,921.75
140,400.0,0.97555,0.60631,-0.047893,1.0,-59.0,5.6328,921.75
141,401.0,0.97555,0.60631,-0.047893,1.0,-59.5,0.28225,920.25
142,402.75,0.97555,0.60631,-0.047893,1.0,-59.5,5.0683,922.25
143,404.75,0.97555,0.60631,-0.047893,1.0,-59.5,5.8261,921.25
144,409.5,0.91693,0.64076,-0.082102,1.0,-60.0,5.8322,921.25
145,412.25,0.91693,0.64076,-0.082102,1.0,-59.5,6.0914,920.75
146,419.5,0.91693,0.64076,-0.082102,1.0,-59.5,0.54917,920.75
147,421.75,0.91693,0.64076,-0.082102,1.0,-59.5,0.0061359,921.25
148,423.0,0.91693,0.64076,-0.082102,1.0,-63.0,0.14573,925.75
149,427.0,0.91693,0.64076,-0.082102,1.0,-60.5,5.1772,922.25
150,434.25,0.91693,0.64076,-0.082102,1.0,-60.5,5.5346,921.75
151,441.0,0.9052,0.64076,-0.082102,1.0,-59.5,5.6957,921.25
152,442.5,0.9052,0.64076,-0.082102,1.0,-63.5,6.2571,925.75
153,444.0,0.9052,0.64076,-0.082102,1.0,-59.5,1.9574,922.25
154,449.0,0.9052,0.64076,-0.082102,1.0,-59.0,6.254,922.25
155,451.5,0.42446,0.91636,-0.16192,1.0,-53.0,5.7156,922.25
156,451.58,0.42446,0.91636,-0.16192,1.0,-52.0,5.8982,922.25
157,452.25,0.58862,0.87042,-0.082102,1.0,-60.0,5.7033,925.75
